ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-5,0,200,10,80,20,800,400,20,12,30
770,200,-12,-5,0,200,10,80,20,800,400,20,12,30
758,195,-12,-5,0,200,10,80,20,800,400,20,12,30
746,190,-12,-5,0,200,10,80,20,800,400,20,12,30
734,185,-12,-5,0,200,10,80,20,800,400,20,12,30
722,180,-12,-5,0,200,10,80,20,800,400,20,12,30
710,175,-12,-5,0,200,10,80,20,800,400,20,12,30
698,170,-12,-5,0,200,10,80,20,800,400,20,12,30
686,165,-12,-5,0,200,10,80,20,800,400,20,12,30
674,160,-12,-5,0,200,10,80,20,800,400,20,12,30
662,155,-12,-5,0,200,10,80,20,800,400,20,12,30
650,150,-12,-5,0,200,10,80,20,800,400,20,12,30
638,145,-12,-5,0,200,10,80,20,800,400,20,12,30
626,140,-12,-5,0,200,10,80,20,800,400,20,12,30
614,135,-12,-5,0,200,10,80,20,800,400,20,12,30
602,130,-12,-5,0,200,10,80,20,800,400,20,12,30
590,125,-12,-5,0,200,10,80,20,800,400,20,12,30
578,120,-12,-5,0,200,10,80,20,800,400,20,12,30
566,115,-12,-5,0,200,10,80,20,800,400,20,12,30
554,110,-12,-5,0,200,10,80,20,800,400,20,12,30
542,105,-12,-5,0,200,10,80,20,800,400,20,12,30
530,100,-12,-5,0,200,10,80,20,800,400,20,12,30
518,95,-12,-5,0,200,10,80,20,800,400,20,12,30
506,90,-12,-5,0,200,10,80,20,800,400,20,12,30
494,85,-12,-5,0,200,10,80,20,800,400,20,12,30
482,80,-12,-5,0,200,10,80,20,800,400,20,12,30
470,75,-12,-5,0,200,10,80,20,800,400,20,12,30
458,70,-12,-5,0,200,10,80,20,800,400,20,12,30
446,65,-12,-5,0,200,10,80,20,800,400,20,12,30
434,60,-12,-5,0,200,10,80,20,800,400,20,12,30
422,55,-12,-5,0,200,10,80,20,800,400,20,12,30
410,50,-12,-5,0,200,10,80,20,800,400,20,12,30
398,45,-12,-5,0,200,10,80,20,800,400,20,12,30
386,40,-12,-5,0,200,10,80,20,800,400,20,12,30
374,35,-12,-5,0,200,10,80,20,800,400,20,12,30
362,30,-12,-5,0,200,10,80,20,800,400,20,12,30
350,35,-12,5,0,200,10,80,20,800,400,20,12,30
338,40,-12,5,0,200,10,80,20,800,400,20,12,30
326,45,-12,5,0,200,10,80,20,800,400,20,12,30
314,50,-12,5,0,200,10,80,20,800,400,20,12,30
302,55,-12,5,0,200,10,80,20,800,400,20,12,30
290,60,-12,5,0,200,10,80,20,800,400,20,12,30
278,65,-12,5,0,200,10,80,20,800,400,20,12,30
266,70,-12,5,0,200,10,80,20,800,400,20,12,30
254,75,-12,5,0,200,10,80,20,800,400,20,12,30
242,80,-12,5,0,200,10,80,20,800,400,20,12,30
230,85,-12,5,0,200,10,80,20,800,400,20,12,30
218,90,-12,5,0,200,10,80,20,800,400,20,12,30
206,95,-12,5,0,200,10,80,20,800,400,20,12,30
194,100,-12,5,0,200,10,80,20,800,400,20,12,30
182,105,-12,5,0,200,10,80,20,800,400,20,12,30
170,110,-12,5,0,200,10,80,20,800,400,20,12,30
158,115,-12,5,0,200,10,80,20,800,400,20,12,30
146,120,-12,5,0,200,10,80,20,800,400,20,12,30
134,125,-12,5,0,200,10,80,20,800,400,20,12,30
122,130,-12,5,0,200,10,80,20,800,400,20,12,30
110,135,-12,5,0,200,10,80,20,800,400,20,12,30
98,140,-12,5,0,200,10,80,20,800,400,20,12,30
86,145,-12,5,0,200,10,80,20,800,400,20,12,30
74,150,-12,5,0,200,10,80,20,800,400,20,12,30
62,155,-12,5,0,200,10,80,20,800,400,20,12,30
50,160,-12,5,0,200,10,80,20,800,400,20,12,30
38,165,-12,5,0,200,10,80,20,800,400,20,12,30
50,170,12,5,0,200,10,80,20,800,400,20,12,30
62,175,12,5,0,200,10,80,20,800,400,20,12,30
74,180,12,5,0,200,10,80,20,800,400,20,12,30
86,185,12,5,0,200,10,80,20,800,400,20,12,30
98,190,12,5,0,200,10,80,20,800,400,20,12,30
110,195,12,5,0,200,10,80,20,800,400,20,12,30
122,200,12,5,0,200,10,80,20,800,400,20,12,30
134,205,12,5,0,200,10,80,20,800,400,20,12,30
146,210,12,5,0,200,10,80,20,800,400,20,12,30
158,215,12,5,0,200,10,80,20,800,400,20,12,30
170,220,12,5,0,200,10,80,20,800,400,20,12,30
182,225,12,5,0,200,10,80,20,800,400,20,12,30
194,230,12,5,0,200,10,80,20,800,400,20,12,30
206,235,12,5,0,200,10,80,20,800,400,20,12,30
218,240,12,5,0,200,10,80,20,800,400,20,12,30
230,245,12,5,0,200,10,80,20,800,400,20,12,30
242,250,12,5,0,200,10,80,20,800,400,20,12,30
254,255,12,5,0,200,10,80,20,800,400,20,12,30
266,260,12,5,0,200,10,80,20,800,400,20,12,30
278,265,12,5,0,200,10,80,20,800,400,20,12,30
290,270,12,5,0,200,10,80,20,800,400,20,12,30
302,275,12,5,0,200,10,80,20,800,400,20,12,30
314,280,12,5,0,200,10,80,20,800,400,20,12,30
326,285,12,5,0,200,10,80,20,800,400,20,12,30
338,290,12,5,0,200,10,80,20,800,400,20,12,30
350,295,12,5,0,200,10,80,20,800,400,20,12,30
362,300,12,5,0,200,10,80,20,800,400,20,12,30
374,305,12,5,0,200,10,80,20,800,400,20,12,30
386,310,12,5,0,200,10,80,20,800,400,20,12,30
398,315,12,5,0,200,10,80,20,800,400,20,12,30
410,320,12,5,0,200,10,80,20,800,400,20,12,30
422,325,12,5,0,200,10,80,20,800,400,20,12,30
434,330,12,5,0,200,10,80,20,800,400,20,12,30
446,335,12,5,0,200,10,80,20,800,400,20,12,30
458,340,12,5,0,200,10,80,20,800,400,20,12,30
470,345,12,5,0,200,10,80,20,800,400,20,12,30
482,350,12,5,0,200,10,80,20,800,400,20,12,30
494,355,12,5,0,200,10,80,20,800,400,20,12,30
506,360,12,5,0,200,10,80,20,800,400,20,12,30
518,365,12,5,0,200,10,80,20,800,400,20,12,30
530,370,12,5,0,200,10,80,20,800,400,20,12,30
542,365,12,-5,0,200,10,80,20,800,400,20,12,30
554,360,12,-5,0,200,10,80,20,800,400,20,12,30
566,355,12,-5,0,200,10,80,20,800,400,20,12,30
578,350,12,-5,0,200,10,80,20,800,400,20,12,30
590,345,12,-5,0,200,10,80,20,800,400,20,12,30
602,340,12,-5,0,200,10,80,20,800,400,20,12,30
614,335,12,-5,0,200,10,80,20,800,400,20,12,30
626,330,12,-5,0,200,10,80,20,800,400,20,12,30
638,325,12,-5,0,200,10,80,20,800,400,20,12,30
650,320,12,-5,0,200,10,80,20,800,400,20,12,30
662,315,12,-5,0,200,10,80,20,800,400,20,12,30
674,310,12,-5,0,200,10,80,20,800,400,20,12,30
686,305,12,-5,0,200,10,80,20,800,400,20,12,30
698,300,12,-5,0,200,10,80,20,800,400,20,12,30
710,295,12,-5,0,200,10,80,20,800,400,20,12,30
722,290,12,-5,0,200,10,80,20,800,400,20,12,30
734,285,12,-5,0,200,10,80,20,800,400,20,12,30
746,280,12,-5,0,200,10,80,20,800,400,20,12,30
758,275,12,-5,0,200,10,80,20,800,400,20,12,30
770,270,12,-5,0,200,10,80,20,800,400,20,12,30
782,265,12,-5,0,200,10,80,20,800,400,20,12,30
758,188,-12,-12,0,200,10,80,20,800,400,20,12,30
746,176,-12,-12,0,200,10,80,20,800,400,20,12,30
734,164,-12,-12,0,200,10,80,20,800,400,20,12,30
722,152,-12,-12,0,200,10,80,20,800,400,20,12,30
710,140,-12,-12,0,200,10,80,20,800,400,20,12,30
698,128,-12,-12,0,200,10,80,20,800,400,20,12,30
686,116,-12,-12,0,200,10,80,20,800,400,20,12,30
674,104,-12,-12,0,200,10,80,20,800,400,20,12,30
662,92,-12,-12,0,200,10,80,20,800,400,20,12,30
650,80,-12,-12,0,200,10,80,20,800,400,20,12,30
638,68,-12,-12,0,200,10,80,20,800,400,20,12,30
626,56,-12,-12,0,200,10,80,20,800,400,20,12,30
614,44,-12,-12,0,200,10,80,20,800,400,20,12,30
602,32,-12,-12,0,200,10,80,20,800,400,20,12,30
590,44,-12,12,0,200,10,80,20,800,400,20,12,30
578,56,-12,12,0,200,10,80,20,800,400,20,12,30
566,68,-12,12,0,200,10,80,20,800,400,20,12,30
554,80,-12,12,0,200,10,80,20,800,400,20,12,30
542,92,-12,12,0,200,10,80,20,800,400,20,12,30
530,104,-12,12,0,200,10,80,20,800,400,20,12,30
518,116,-12,12,0,200,10,80,20,800,400,20,12,30
506,128,-12,12,0,200,10,80,20,800,400,20,12,30
494,140,-12,12,0,200,10,80,20,800,400,20,12,30
482,152,-12,12,0,200,10,80,20,800,400,20,12,30
470,164,-12,12,0,200,10,80,20,800,400,20,12,30
458,176,-12,12,0,200,10,80,20,800,400,20,12,30
446,188,-12,12,0,200,10,80,20,800,400,20,12,30
434,200,-12,12,0,200,10,80,20,800,400,20,12,30
422,212,-12,12,0,200,10,80,20,800,400,20,12,30
410,224,-12,12,0,200,10,80,20,800,400,20,12,30
398,236,-12,12,0,200,10,80,20,800,400,20,12,30
386,248,-12,12,0,200,10,80,20,800,400,20,12,30
374,260,-12,12,0,200,10,80,20,800,400,20,12,30
362,272,-12,12,0,200,10,80,20,800,400,20,12,30
350,284,-12,12,0,200,10,80,20,800,400,20,12,30
338,296,-12,12,0,200,10,80,20,800,400,20,12,30
